,Ad Clicks,Ad Impressions,Ad Spend,Ad Text,Age,Date,Interests,Language,Location,Number,Placements
0,0,137,44.87,Join us because we care. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 137 Ad Clicks 0 Ad Spend 44.87 RUB Ad Creation Date 06/10/15 02:59:53 AM PDT P(1)0000054 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Join us because we care. Black matters. Black Matters Commun,ty 224,537 people like  nis. ,` Like Page P(1)0000055 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:59:53 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 137 Ad Clicks 0 Ad Spend 44.87 RUB Ad Creation Date 06/10/15 02:59:53 AM PDT P(1)0000054 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Join us because we care. Black matters. Black Matters Commun,ty 224,537 people like  nis. ,` Like Page P(1)0000055 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0000054.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 137 Ad Clicks 0 Ad Spend 44.87 RUB Ad Creation Date 06/10/15 02:59:53 AM PDT P(1)0000054 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Join us because we care. Black matters. Black Matters Commun,ty 224,537 people like  nis. ,` Like Page P(1)0000055 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
1,35,452,184.81,"NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol,. with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today. The two recent U.S. wars were costly for our nation; to put it lightly. They led to domestic devastation of country. No matter what Defense Secretary or POTUS are saying they don't fool me with promises of gay military equality as key to the nation's agenda. Better talk to me about cutting DoD's budget. FOLKS. #Igbt #USarmy #CrossDress #GaySoldier #Obama #DefenseBudget #StopWar","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like LGBT United, Friends of connections: Friends of people who are connected to LGBT United Ad Impressions 452 Ad Clicks 35 Ad Spend 184.81 RUB Ad Creation Date 06/23/15 07:04:01 AM PDT Ad End Date 06/24/15 07:04:00 AM PDT P(1)0000180 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceLGBT Unfted Sponsored - 0 ii Like Page NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol, with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today.... See More 50 Likes 2 Shares Idl Like  * comment  o+ Share P(1)0000181 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/23/15 07:04:01 AM PDT,N/A,N/A,N/A,P(1)0000180.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like LGBT United, Friends of connections: Friends of people who are connected to LGBT United Ad Impressions 452 Ad Clicks 35 Ad Spend 184.81 RUB Ad Creation Date 06/23/15 07:04:01 AM PDT Ad End Date 06/24/15 07:04:00 AM PDT P(1)0000180 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceLGBT Unfted Sponsored - 0 ii Like Page NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol, with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today.... See More 50 Likes 2 Shares Idl Like  * comment  o+ Share P(1)0000181 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
2,N/A,N/A,N/A,"NOT EVERY BOY WANTS TO BE A SOLDIER. A beautiful message was seen on the streets of the capitol,. with no group name or credits attached to the project. It was the poster at top, of the bearded man in a pink gown behaving like a queen and holding a sign saying ""Not every boy wants to be a soldier"". A timely message for today. The two recent U.S. wars were costly for our nation; to put it lightly. They led to domestic devastation of country. No matter what Defense Secretary or POTUS are saying they don't fool me with promises of gay military equality as key to the nation's agenda. Better talk to me about cutting DoD's budget. FOLKS. #Igbt #USarmy #CrossDress #GaySoldier #Obama #DefenseBudget #StopWar","Age:  18 - 65+  Placements:  News Feed on desktop computers or News Feed on  mobile  devices  People Who Match:  People who like LGBT United, Friends of connections:  Friends of people who are connected to LGBT United  Ad  Impressions  37 4  Ad  Clicks  26  Ad  Spend  99.95 RUB  Ad  Creation  Date  06/23/15 07:02:40 AM  PDT  Ad  End  Date  06/24/15 07:02:39 AM  PDT    P( 1 )0000182  Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence-~ LGBT United  --- Sponsored· 0  •' Like Pa.ge  ""Peop le can tolerate two homosexuals they ;See leaving together,  but the  next day they're smiling, holding hands, tenderly embracing one anothell',  then they cannot be forgiv,en. It is not the departure for pleasure that is  unacceptable,  it is wa.k.1ng  up happy.""  ~Mijchel  Foucault,  philosophe r and social critic.  #lgbt #homophobia #Foucau lt #sooi·ety #queerquote  57 LI kes  3 Shares  · '  Like  • Comment  ,+ Share    P( 1 )0000183  Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,N/A,N/A,N/A,P(1)0000182.pdf,N/A
3,0,31,33.59,?????? ??? ????? ? ??????????,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers Ad Impressions 31 Ad Clicks 0 Ad Spend 33.59 RUB Ad Creation Date 06/09/15 03:50:21 AM PDT Ad End Date 06/11/15 03:48:00 AM PDT P(1)0001844 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page L for life Sponsored )KypHan 411H Y%IHbIVl o HaXoLi-m 3bIX L for life Magazine 1 person likes this. ,dr  Like Page P(1)0001845 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/09/15 03:50:21 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers Ad Impressions 31 Ad Clicks 0 Ad Spend 33.59 RUB Ad Creation Date 06/09/15 03:50:21 AM PDT Ad End Date 06/11/15 03:48:00 AM PDT P(1)0001844 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page L for life Sponsored )KypHan 411H Y%IHbIVl o HaXoLi-m 3bIX L for life Magazine 1 person likes this. ,dr  Like Page P(1)0001845 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0001844.pdf,"Placements: News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers Ad Impressions 31 Ad Clicks 0 Ad Spend 33.59 RUB Ad Creation Date 06/09/15 03:50:21 AM PDT Ad End Date 06/11/15 03:48:00 AM PDT P(1)0001844 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page L for life Sponsored )KypHan 411H Y%IHbIVl o HaXoLi-m 3bIX L for life Magazine 1 person likes this. ,dr  Like Page P(1)0001845 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
4,4,326,45.94,"California... knows how to party California... knows how to party In the citaaay of L.A. In the citaaay of good of Watts In the citaaay, the city of Compton We keep it rockin! We keep it rockin! - 2Pac - California Love",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 326 Ad Clicks 4 Ad Spend 45.94 RUB Ad Creation Date 06/10/15 07:34:52 AM PDT Ad End Date 06/11/15 07:34:51 AM PDT P(1)0002111 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/10/15 07:34:52 AM PDT,N/A,N/A,N/A,P(1)0002111.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 326 Ad Clicks 4 Ad Spend 45.94 RUB Ad Creation Date 06/10/15 07:34:52 AM PDT Ad End Date 06/11/15 07:34:51 AM PDT P(1)0002111 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
5,517,1,99.97,"Since 2010, over 350 of our lives have been taken at the hands of police. Those lives of which, were made to be worthless because of our race. Each time we die, many of your people, and those who stand by you, justify the taking of our lives, because they believe we are not human, and are not worthy of life. Why should we be a target for police violence and harassment?",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 1.478 Ad Clicks 517 Ad Spend 99.97 RUB Ad Creation Date 06/11/15 0113:16 AM PDT Ad End Date 06/12/15 03:13:16 AM PDT P(1)0002112 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/12/15 03:13:16 AM PDT,N/A,N/A,N/A,P(1)0002112.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 1.478 Ad Clicks 517 Ad Spend 99.97 RUB Ad Creation Date 06/11/15 0113:16 AM PDT Ad End Date 06/12/15 03:13:16 AM PDT P(1)0002112 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
6,7,125,34.77,"'Just like Trayvon Martin, race mattered for Amadou Diallo, Oscar Grant, Sean Bell, Emmett Till, and [thousands] more we will never know the name of who died because of their skin color."" - Angela Davis. Racism is still alive in the USA.",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 125 Ad Clicks 7 Ad Spend 34.77 RUB Ad Creation Date 06/11/15 06:51:30 AM PDT Ad End Date 06/12/15 06:51:29 AM PDT P(1)0002113 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/11/15 06:51:30 AM PDT,N/A,N/A,N/A,P(1)0002113.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 125 Ad Clicks 7 Ad Spend 34.77 RUB Ad Creation Date 06/11/15 06:51:30 AM PDT Ad End Date 06/12/15 06:51:29 AM PDT P(1)0002113 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
7,17,168,31.54,"Race war started by Texas teacher A Texas fourth-grade teacher Karen Fitzgibbons published a racial Facebook post in which she confirmed that Black people are responsible for racial tensions in the USA. Moreover she claimed that she is ""almost to the point"" of defending the segregation. After her post about the recent pool party incident drew local attention, the teacher deleted her profile. ""This makes me ANGRY! This officer should not have had to resign. I'm going to just go ahead and say it....the blacks are the ones causing the problems and this `racial tension. I  guess that's what happens when you flunk out of school and have no education. I'm sure their parents are just as guilty for not knowing what their kids were doing; or knew it and didn't care,"" she wrote. She also added,""I'm almost to the point of wanting them all segregated on one side of town so they can hurt each other and leave the innocent people alone. Maybe the 50s and 60s were really on to something. Now, let the bashing of my true and honest opinion begin .... GO! #imnotracist #imsickofthemcausingtrouble #itwasagatedcommunity"". As we see Karen Fitzgibbons is a real racist, who approves the humiliation of black people! This news clearly reflects that American society is close to collapse, if not to say to war. As the authorities are doing nothing to resolve the situation, in the near future we may face real race war within our country.",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 168 Ad Clicks 17 Ad Spend 31.54 RUB Ad Creation Date 06/11/15 07:03:58 AM PDT Ad End Date 06/12/15 07:03:57 AM PDT P(1)0002114 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/11/15 07:03:58 AM PDT,N/A,N/A,N/A,P(1)0002114.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 168 Ad Clicks 17 Ad Spend 31.54 RUB Ad Creation Date 06/11/15 07:03:58 AM PDT Ad End Date 06/12/15 07:03:57 AM PDT P(1)0002114 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
8,18,482,90.65,"The image of 1938 shows several African American Youths dangling around the stairs leading up to the back entrance of a segregated movie theater in Anniston, Alabama.That day the Tarzan film, Call of the Savage was shown.","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 482 Ad Clicks 18 Ad Spend 90.65 RUB Ad Creation Date 06/15/15 07:21:33 AM PDT Ad End Date 06/16/15 07:21:33 AM PDT P(1)0002115 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/15/15 07:21:33 AM PDT,N/A,N/A,N/A,P(1)0002115.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 482 Ad Clicks 18 Ad Spend 90.65 RUB Ad Creation Date 06/15/15 07:21:33 AM PDT Ad End Date 06/16/15 07:21:33 AM PDT P(1)0002115 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
9,24,524,88.45,"American Racists On The Road The racists group of America ""Back To The Blue"" are organizing a hate rally in response to the public outcry and protests against police officers. ""Bikers-patriots"" want to descend on the McKinney Police HQ in a show of solidarity for the police because race-baiters and cop-haters. They plan to have ""the biggest thing to happen in Patriot Movement since the Bundy Ranch victory!"" It seems like we won't get into ""post-racial America"".... this event and the regular murder of innocent Black children by white supremacist police and citizens makes that clear. The modern government has brought racist America to the forefront, good or bad. This is something that America has a serious issue with - RACISM! Is it time to call out the national guard?","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 524 Ad Clicks 24 Ad Spend 88.45 RUB Ad Creation Date 06/15/15 07:22:00 AM PDT Ad End Date 06/16/15 07:21:59 AM PDT P(1)0002116 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/15/15 07:22:00 AM PDT,N/A,N/A,N/A,P(1)0002116.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 524 Ad Clicks 24 Ad Spend 88.45 RUB Ad Creation Date 06/15/15 07:22:00 AM PDT Ad End Date 06/16/15 07:21:59 AM PDT P(1)0002116 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
