,Ad Clicks,Ad Impressions,Ad Spend,Ad Text,Age,Date,Interests,Language,Location,Number,Placements
10,43,764,90.86,"""Free Figure's Black Power Rally at VCU:""",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 764 Ad Clicks 43 Ad Spend 90.86 RUB Ad Creation Date 06/15/15 07:21:47 AM PDT Ad End Date 06/16/15 07:21:47 AM PDT P(1)0002117 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/15/15 07:21:47 AM PDT,N/A,N/A,N/A,P(1)0002117.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 764 Ad Clicks 43 Ad Spend 90.86 RUB Ad Creation Date 06/15/15 07:21:47 AM PDT Ad End Date 06/16/15 07:21:47 AM PDT P(1)0002117 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
11,47,676,89.51,"A woman pretended Afro-American to gain control over black community association The president of a local NAACP chapter in Spokane, Washington is under investigation after her parents publicly accused her of lying being African American. Both parents of Rachel Dolezal are white. Rachel Dolezal also serves as the chair of Spokane's Office of Police Ombudsman Commission and is an adjunct professor of Africana Studies at Eastern Washington University. Dolezal falsely identified herself as African-American in order to be appointed as a chair. Dolezal's parents paid attention to the official documents, including a birth certificate, confirming that Rachel is part Swedish, Czech, and German with ""traces"" of Native American heritage. We see, how whites are trying to gain control over traditionally black organization that protects the rights and interests of the black community. In the Dolezal's case it is unlikely it was a mistake or personally motivated fraud. Simply she was given a task to join the association of black community in order to control it and hold the interests of white majority. We need a deep inspection of Rachel Dolezal's activities while she was a president of the local branch of the Association of black people! In order not to repeat similar cases in future we need a careful control of all appointments by black community! As it is, there is a dominance of whites in police departments and authorities of cities with a predominantly black population!",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 676 Ad Clicks 47 Ad Spend 89.51 RUB Ad Creation Date 06/15/15 07:22:20 AM PDT Ad End Date 06/16/15 07:22:20 AM PDT P(1)0002118 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/15/15 07:22:20 AM PDT,N/A,N/A,N/A,P(1)0002118.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 676 Ad Clicks 47 Ad Spend 89.51 RUB Ad Creation Date 06/15/15 07:22:20 AM PDT Ad End Date 06/16/15 07:22:20 AM PDT P(1)0002118 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
12,47,1075,174.40,"2Pac believed in Fight Tupac Shakur was indeed not just one of the greatest rappers of all time but a worldly icon whose status in hip-hop culture can never be replaced. His revolutionary knowledge mixed with street experience made him powerful unstoppable force that spoke to the hearts of millions of people. His songs touch on a number of engaging topics, including religion, women, oppression, etc. 2Pac was a humanitarian, who stood up for those who couldn't stand up for themselves. He believed in Fight and Speaking the Truth. Nowadays a lot of singers, both black and white use their music to sell records, just for making money. American society at all levels became too corruptive, starting from our government and ending with ordinary citizens. On the contrary Tupac did his music to influence the world. That's why he spoke to issues of poverty, oppression and racism. Today young African-Americans have fallen under bad influence of money, drugs and so on. Yeah, it is all started from the government's attitude towards Blacks. But let's remember Tupac and his ability to question the social order. Changes, one of his popular songs, asks everyone to change their lifestyles for better society. He always asked people to share with each other and to learn to love each other.","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 1,075 Ad Clicks 47 Ad Spend 174.40 RUB Ad Creation Date 06/16/15 07:36:57 AM PDT Ad End Date 06/17/15 07:36:56 AM PDT P(1)0002119 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/16/15 07:36:57 AM PDT,N/A,N/A,N/A,P(1)0002119.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 1,075 Ad Clicks 47 Ad Spend 174.40 RUB Ad Creation Date 06/16/15 07:36:57 AM PDT Ad End Date 06/17/15 07:36:56 AM PDT P(1)0002119 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
13,10,153,90.07,"Today we celebrate the legendary rapper who ever lived: Happy B-day, Tupac! The greatest of all time rapper is known not only for his music but for the wise words he spoke and his strength in standing up against oppression. His real name was Lesane Parish Crooks. Shakur was only 25 years old at the time he was shot and killed in 1996. His killer has never been caught. We will never forget 2Pac. Today we remember him on what would've been his 44th Birthday.",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters. Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 153 Ad Clicks 10 Ad Spend 90.07 RUB Ad Creation Date 06/16/15 07:37:14 AM PDT Ad End Date 06/17/15 07:37:13 AM PDT P(1)0002120 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/16/15 07:37:14 AM PDT,N/A,N/A,N/A,P(1)0002120.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters. Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 153 Ad Clicks 10 Ad Spend 90.07 RUB Ad Creation Date 06/16/15 07:37:14 AM PDT Ad End Date 06/17/15 07:37:13 AM PDT P(1)0002120 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
14,26,476,84.15,It is an American history. African-American citizens sat behind signs like these on city buses.,Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 476 Ad Clicks 26 Ad Spend 84.15 RUB Ad Creation Date 06/16/15 08:20:31 AM PDT Ad End Date 06/17/15 08:20:30 AM PDT P(1)0002121 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/16/15 08:20:31 AM PDT,N/A,N/A,N/A,P(1)0002121.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 476 Ad Clicks 26 Ad Spend 84.15 RUB Ad Creation Date 06/16/15 08:20:31 AM PDT Ad End Date 06/17/15 08:20:30 AM PDT P(1)0002121 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
15,42,745,175.37,Americans so much effort to hate each other instead of putting the effort into doing something useful. Stop racism! We all belong to ONE HUMAN RACE.,Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters. Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 745 Ad Clicks 42 Ad Spend 175.37 RUB Ad Creation Date 06/17/15 07:41:34 AM PDT Ad End Date 06/18/15 07:41:33 AM PDT P(1)0002122 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/17/15 07:41:34 AM PDT,N/A,N/A,N/A,P(1)0002122.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters. Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 745 Ad Clicks 42 Ad Spend 175.37 RUB Ad Creation Date 06/17/15 07:41:34 AM PDT Ad End Date 06/18/15 07:41:33 AM PDT P(1)0002122 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
16,23,746,175.31,"No national outrage for an incident at pool party where a black teen was shot to death Today, the pool party in Georgia is even more shocking than a recent pool party in Texas. A young man from Georgia was shot to death at a pool party at Fayette. It was an advertised on social 200 teenager's pool party which ended up with shootings of unknown assailant for unknown reasons. One of the five injured, a 19-year-old black teenager Clanton passed away on the way to hospital. In fact, the media has not made a transparent effort to cover up the incident. Why the pool party in Georgia is a silent story? Why the police was not aware of a large party? Why this story has no national outrage? Is it ok when a black teenager dies? Unfortunately, the responding police officers were not able to prevent the tragedy. From these facts one might conclude, police officers know the easiest ways to arrest people, but they are irresponsible to avoid the shootings at the average pool party.","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 746 Ad Clicks 23 Ad Spend 175.31 RUB Ad Creation Date 06/17/15 07:41:07 AM PDT Ad End Date 06/18/15 07:41:06 AM PDT P(1)0002123 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/17/15 07:41:07 AM PDT,N/A,N/A,N/A,P(1)0002123.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 746 Ad Clicks 23 Ad Spend 175.31 RUB Ad Creation Date 06/17/15 07:41:07 AM PDT Ad End Date 06/18/15 07:41:06 AM PDT P(1)0002123 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
17,97,1290,270.36,"A 13-year-old child was tasered by cop for skateboarding A San Diego sheriff's deputy was filmed tasering 13-year-old child in the spine for skateboarding. Witnesses reported that the cop tried to force them to delete videos from their phones. Videos show how the child writhes in agony from being tased. Police said that the child ran away from home and was missing for a day-and-half. However it doesn't give the reason to taser a child. We see another case of police misconduct, when the policeman actually attacked the child. This case should reach the court, because the child hasn't done anything unlawful. The policeman exceeded his powers and used force against a child. So he should be punished. Before the trial nothing's gonna change and cops are about to do whatever they want. The task of all Americans who have witnessed police brutality is to extend all the information about it in order to reach out the government and the court.","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 1,290 Ad Clicks 97 Ad Spend 270.36 RUB Ad Creation Date 06/17/15 07:41:46 AM PDT Ad End Date 06/18/15 07:41:45 AM PDT P(1)0002124 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/17/15 07:41:46 AM PDT,N/A,N/A,N/A,P(1)0002124.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 1,290 Ad Clicks 97 Ad Spend 270.36 RUB Ad Creation Date 06/17/15 07:41:46 AM PDT Ad End Date 06/18/15 07:41:45 AM PDT P(1)0002124 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
18,55,1005,248.56,"Only 9 days this year nobody was killed by police According to data from Mapping Police Violence there are only 9 days this calendar year when nobody was killed by police in the USA. Since January 1, 2015 at least 508 people have now been killed by policemen. Moreover, analyzing all deaths caused by police, African-American and Hispanic people are more likely to be killed than Whites. Figures show that the index of deaths for black people is 3.45 per million, while for whites it is 1.26 per million. Add here military-style equipment and non-lethal weapons, given to cops. And only 0.02 per cent of the nation's police forces are investigated each year. Only 0.02! That means, US policemen are immune from criminal changes in their killings. That's why they carry out their daily police raids to destroy the population at the territories under their control.","Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 1,005 Ad Clicks 55 Ad Spend 248.56 RUB Ad Creation Date 06/17/15 07:42:02 AM PDT Ad End Date 06/18/15 07:42:01 AM PDT P(1)0002125 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/17/15 07:42:02 AM PDT,N/A,N/A,N/A,P(1)0002125.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices People Who Match: People who like Black Matters, Friends of connections: Friends of people who are connected to Black Matters Ad Impressions 1,005 Ad Clicks 55 Ad Spend 248.56 RUB Ad Creation Date 06/17/15 07:42:02 AM PDT Ad End Date 06/18/15 07:42:01 AM PDT P(1)0002125 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
19,21,844,169.47,"In early 1900s this Black Americana Chocolate Eyes Ad Art was popular in the USA. They made money from our pain and suffering! Though today we don't see such ads, racism still exists in the American society.",Age: 18 - 65+ Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 844 Ad Clicks 21 Ad Spend 169.47 RUB Ad Creation Date 06/17/15 07:45:33 AM PDT Ad End Date 06/18/15 07:45:32 AM PDT P(1)0002126 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence,06/17/15 07:45:33 AM PDT,N/A,N/A,N/A,P(1)0002126.pdf,Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 844 Ad Clicks 21 Ad Spend 169.47 RUB Ad Creation Date 06/17/15 07:45:33 AM PDT Ad End Date 06/18/15 07:45:32 AM PDT P(1)0002126 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence
