Player,#,KEN
Michael Jordan,4,42.05223880597015
LeBron James,7,40.63692038495188
Kareem Abdul-Jabbar,1,40.582692307692305
Larry Bird,33,40.08361204013378
Karl Malone,2,37.83875338753388
Anthony Davis,382,37.52439024390244
Kevin Durant,36,37.2970168612192
Hakeem Olajuwon,11,37.218901453958
Shaquille O'Neal,8,37.1847555923778
Charles Barkley,26,36.97856477166822
